2/attach_file;"=MROUND(AVERAGE(A16:A65536);1)"
2/count;"=MROUND(AVERAGE(B16:B65536);1)"
2/init_ret4;"=MROUND(AVERAGE(C16:C65536);1)"
2/submit_pic/count2;"=MROUND(AVERAGE(D16:D65536;F16:F65536;H16:H65536;J16:J65536);1)"
2/submit_pic/tiles_numbers;"=MROUND(AVERAGE(E16:E65536;G16:G65536;I16:I65536;K16:K65536);1)"
2/extract_pic;"=MROUND(AVERAGE(L16:L65536;T16:T65536;AB16:AB65536;AJ16:AJ65536);1)"
2/submit_pic/before_tiles;"=MROUND(AVERAGE(M16:M65536;U16:U65536;AC16:AC65536;AK16:AK65536);1)"
2/submit_pic/tiles;"=MROUND(AVERAGE(N16:N65536;O16:O65536;P16:P65536;Q16:Q65536;V16:V65536;W16:W65536;X16:X65536;Y16:Y65536;AD16:AD65536;AE16:AE65536;AF16:AF65536;AG16:AG65536;AL16:AL65536;AM16:AM65536;AN16:AN65536;AO16:AO65536);1)"
2/submit_pic/after_tiles;"=MROUND(AVERAGE(R16:R65536;Z16:Z65536;AH16:AH65536;AP16:AP65536);1)"
2/receive_pic;"=MROUND(AVERAGE(S16:S65536;AA16:AA65536;AI16:AI65536;AQ16:AQ65536);1)"
2/display;"=MROUND(AVERAGE(AR16:AR65536);1)"
2/detach_stream;"=MROUND(AVERAGE(AS16:AS65536);1)"
"TIMINGS WEIGHTED SUM";"=SUM(1*B1,1*B2,1*B3,4*B4,4*B5,4*B6,4*B7,16*B8,4*B9,4*B10,1*B11,1*B12)"
0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;
1573480;477;179;106;216;114;253;111;109;87;107;1238;516;118;149;102;116;19923;183807;2019;973;153;428;220;161;3557;39631;1351;610;118;118;186;194;2126;25948;1632;1238678;14858689;7109149;8282633;4542355;242;43538;146;674621;
1094025;116;82;77;112;73;149;63;65;65;78;1615;315;86;96;79;77;89;6540;238;144;89;144;79;82;90;3801;94;78;65;108;128;144;149;3593;96;138;80;65;68;69;91;3596;81;91213;
1035087;116;75;87;70;66;75;63;59;55;52;646;265;86;52;58;63;56;6881;230;74;66;72;77;53;72;6524;67;50;48;64;65;60;67;4964;51;67;71;53;48;59;48;7105;71;92064;
1041188;113;76;83;86;58;70;55;56;61;60;601;216;67;63;60;67;50;8840;337;114;94;97;88;73;108;8032;78;64;65;58;67;69;86;6553;77;104;64;64;63;76;87;6890;88;20839;
147945;60;65;72;78;52;64;52;55;52;54;575;186;60;77;73;52;48;5646;174;58;63;65;62;64;60;3492;46;48;47;63;60;49;61;3464;54;73;61;52;47;49;66;3480;56;10191;
134974;58;51;49;54;56;57;52;48;52;68;548;158;57;54;57;66;46;5155;146;66;66;72;59;60;67;3460;46;48;47;50;70;48;61;3479;65;58;60;52;49;48;49;3428;55;9869;
133291;74;59;52;52;50;63;50;48;70;54;394;153;58;66;57;65;46;5080;172;70;52;91;47;48;47;3444;46;61;59;65;66;57;65;3492;47;69;63;51;48;48;49;3459;64;9532;
133728;78;59;52;68;50;64;46;47;49;52;578;150;54;66;55;59;69;5428;198;65;91;76;47;52;47;3488;56;48;62;50;60;60;64;3443;59;67;61;53;47;56;47;3451;65;9703;
134442;52;52;61;53;50;64;45;49;49;53;502;145;56;70;54;57;47;5332;176;65;64;72;49;61;47;3457;59;50;47;60;47;47;64;3444;49;69;58;51;47;49;48;3459;65;9549;
137388;58;56;51;54;51;62;60;62;48;54;438;146;57;54;56;65;47;5125;151;58;51;59;59;60;60;3441;59;62;48;65;47;48;54;3418;48;68;54;51;48;48;57;3459;66;9800;
