explode_Split_output;"=AVERAGE(CF65:CF65536)"
rgb2Gray;"=AVERAGE(R65:R65536;U65:U65536)"
Cost_Parallel_Work_Broadcast5_2_end_back_337500_0;"=AVERAGE(BL65:BL65536)"
Cost_Parallel_Work_Broadcast0;"=AVERAGE(O65:O65536)"
readPPM;"=AVERAGE(M65:M65536;N65:N65536)"
Cost_Parallel_Work_br_cenL;"=AVERAGE(AI65:AI65536)"
split;"=AVERAGE(CE65:CE65536)"
disparityGen;"=AVERAGE(I65:I65536)"
Cost_Parallel_Work_br_grayL;"=AVERAGE(AG65:AG65536)"
Cost_Parallel_Work_br_cenR;"=AVERAGE(AH65:AH65536)"
Cost_Parallel_Work_CostConstruction_4_init_back;"=AVERAGE(E65:E65536)"
Cost_Parallel_Work_Broadcast3;"=AVERAGE(AU65:AU65536)"
Cost_Parallel_Work_Broadcast5_3_end_back_337500_0;"=AVERAGE(BO65:BO65536)"
Cost_Parallel_Work_Broadcast4;"=AVERAGE(P65:P65536)"
Cost_Parallel_Work_br_grayR;"=AVERAGE(AD65:AD65536)"
offsetGen;"=AVERAGE(J65:J65536)"
Cost_Parallel_Work_Broadcast2;"=AVERAGE(AT65:AT65536)"
displayLum;"=AVERAGE(CX65:CX65536)"
Cost_Parallel_Work_CostConstruction_5_init_back;"=AVERAGE(F65:F65536)"
Cost_Parallel_Work_Broadcast5_1_end_back_337500_0;"=AVERAGE(BI65:BI65536)"
Broadcast0;"=AVERAGE(Q65:Q65536)"
broadcast2;"=AVERAGE(X65:X65536)"
Cost_Parallel_Work_Broadcast5_7_end_back_337500_0;"=AVERAGE(CB65:CB65536)"
broadcast1;"=AVERAGE(AE65:AE65536)"
Cost_Parallel_Work_rb_rawDisparity;"=AVERAGE(CD65:CD65536)"
Cost_Parallel_Work_CostConstruction_1_init_back;"=AVERAGE(B65:B65536)"
census;"=AVERAGE(AC65:AC65536;AF65:AF65536)"
disparitySelect;"=AVERAGE(BD65:BD65536;BG65:BG65536;BJ65:BJ65536;BM65:BM65536;BP65:BP65536;BS65:BS65536;BV65:BV65536;BY65:BY65536)"
Cost_Parallel_Work_br_rgbL;"=AVERAGE(S65:S65536)"
Cost_Parallel_Work_CostConstruction_6_init_back;"=AVERAGE(G65:G65536)"
Cost_Parallel_Work_disparitySelect_7_end_backBestCost;"=AVERAGE(CA65:CA65536)"
Cost_Parallel_Work_Broadcast5_4;"=AVERAGE(BQ65:BQ65536)"
Cost_Parallel_Work_Broadcast5_3;"=AVERAGE(BN65:BN65536)"
Cost_Parallel_Work_Broadcast5_6;"=AVERAGE(BW65:BW65536)"
Cost_Parallel_Work_Broadcast5_5;"=AVERAGE(BT65:BT65536)"
Cost_Parallel_Work_Broadcast5_5_end_back_337500_0;"=AVERAGE(BU65:BU65536)"
Cost_Parallel_Work_Broadcast5_7;"=AVERAGE(BZ65:BZ65536)"
Cost_Parallel_Work_Broadcast1_0;"=AVERAGE(V65:V65536)"
Cost_Parallel_Work_Broadcast5_6_end_back_337500_0;"=AVERAGE(BX65:BX65536)"
Cost_Parallel_Work_Broadcast1_1;"=AVERAGE(W65:W65536)"
Cost_Parallel_Work_Broadcast5_0;"=AVERAGE(BE65:BE65536)"
Cost_Parallel_Work_CostConstruction_2_init_back;"=AVERAGE(C65:C65536)"
displayRGB;"=AVERAGE(T65:T65536)"
Cost_Parallel_Work_Broadcast5_2;"=AVERAGE(BK65:BK65536)"
Cost_Parallel_Work_Broadcast5_1;"=AVERAGE(BH65:BH65536)"
Cost_Parallel_Work_Broadcast5_7_end_out1_168750_0;"=AVERAGE(CC65:CC65536)"
Cost_Parallel_Work_Broadcast5_0_end_back_337500_0;"=AVERAGE(BF65:BF65536)"
implode_lum2RGB_in;"=AVERAGE(CV65:CV65536)"
implode_Cost_Parallel_Work_Broadcast3_in;"=AVERAGE(AS65:AS65536)"
lum2RGB;"=AVERAGE(CW65:CW65536)"
costConstruction;"=AVERAGE(AJ65:AJ65536;AK65:AK65536;AL65:AL65536;AM65:AM65536;AN65:AN65536;AO65:AO65536;AP65:AP65536;AQ65:AQ65536)"
aggregateCost;"=AVERAGE(AV65:AV65536;AW65:AW65536;AX65:AX65536;AY65:AY65536;AZ65:AZ65536;BA65:BA65536;BB65:BB65536;BC65:BC65536)"
Cost_Parallel_Work_Broadcast5_4_end_back_337500_0;"=AVERAGE(BR65:BR65536)"
Cost_Parallel_Work_CostConstruction_7_init_back;"=AVERAGE(H65:H65536)"
medianFilter;"=AVERAGE(CG65:CG65536;CH65:CH65536;CI65:CI65536;CJ65:CJ65536;CK65:CK65536;CL65:CL65536;CM65:CM65536;CN65:CN65536;CO65:CO65536;CP65:CP65536;CQ65:CQ65536;CR65:CR65536;CS65:CS65536;CT65:CT65536;CU65:CU65536)"
Cost_Parallel_Work_CostConstruction_0_init_back;"=AVERAGE(A65:A65536)"
Cost_Parallel_Work_CostConstruction_3_init_back;"=AVERAGE(D65:D65536)"
Cost_Parallel_Work_disparitySelect_0_init_bestCostFeed;"=AVERAGE(K65:K65536)"
computeWeights;"=AVERAGE(Y65:Y65536;Z65:Z65536;AA65:AA65536;AB65:AB65536)"
implode_Cost_Parallel_Work_Broadcast2_in;"=AVERAGE(AR65:AR65536)"
writePPM;"=AVERAGE(CY65:CY65536)"
Cost_Parallel_Work_disparitySelect_0_init_currentResult;"=AVERAGE(L65:L65536)"
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100;101;102;103;
